  Iteration         a         b         c       f(c)    Error |x_{n+1} - x_n|
          1  0.000000  1.000000  0.500000  -0.752583                 0.250000
          2  0.500000  1.000000  0.750000  -0.309814                 0.125000
          3  0.750000  1.000000  0.875000   0.028925                 0.062500
          4  0.750000  0.875000  0.812500  -0.151309                 0.031250
          5  0.812500  0.875000  0.843750  -0.063988                 0.015625
          6  0.843750  0.875000  0.859375  -0.018241                 0.007812
          7  0.859375  0.875000  0.867188   0.005164                 0.003906
          8  0.859375  0.867188  0.863281  -0.006583                 0.001953
          9  0.863281  0.867188  0.865234  -0.000721                 0.000977
         10  0.865234  0.867188  0.866211   0.002219                 0.000488
