  Iteration       x_n    g(x_n)    Error |x_{n+1} - x_n|
          1  0.900000  0.853439                 0.046561
          2  0.853439  0.869512                 0.016073
          3  0.869512  0.864101                 0.005411
          4  0.864101  0.865939                 0.001837
          5  0.865939  0.865317                 0.000622
          6  0.865317  0.865527                 0.000211
          7  0.865527  0.865456                 0.000071
          8  0.865456  0.865480                 0.000024
          9  0.865480  0.865472                 0.000008
         10  0.865472  0.865475                 0.000003
